"Engineering Mathematics I","Chemistry","Communication Techniques","Programming in C","Basic Electrical Engineering","Mechanical Workshop","Engineering
Mathematics II",Physics,"Engineering
Drawing","Object Oriented
Programming in C++","Applied
Mechanics I","Thermal 
Science","Engineering 
Mathematics III","Data Structure 
and Algorithms","Electrical
Engineering ",Network Theory,"Electronics
Devices and ",Logic Circuits,"Engineering 
Mathematics IV",Instrumentation,"Database Management 
Systems","Programming
Technology",Microprocessors,Project I,"Numerical
Methods","Probability and 
Statistics","Operating
Systems","Computer 
Architecture","Computer 
Graphics","Theory of
Computation",Simulation and Modeling,Data Communication,Object Oriented Software,Embedded Systems,Project II,Elective I,"Artificial
Intelligence","Engineering
Economics",Computer Network,"Image Processing and
Pattern Recognition","ICT Project 
Management",Elective II,"Digital Signal 
Analysis
Processing","Social and
Professional 
Issues in IT","Organization and
Management","Information
System",Project III,Elective III
0,4,4,3,4,4,2.7,0,2.7,3.7,0,3.3,1.7,4,0,3,0,4,0,3.3,4,2.7,2.7,4,4,0,2.7,2.7,2.7,2.7,3,2,3.7,2.7,4,3.7,2.7,0,2.7,0,2.7,2,0,2.7,3,2.7,3.7,3.3
3,3,1.7,2.7,3.7,4,3,0,0,0,0,2.7,3,2,2.7,0,0,3.3,2.7,3.3,3.7,3.7,3,4,3.3,2.7,3,3.7,3,3.3,2.7,3.3,3.3,0,3.7,4,3.3,0,3.3,3,2.7,4,0,2.7,3.7,0,3.7,3.7
4,2.7,2,3.3,3,4,4,2,0,3,2.7,2,4,3.7,3,3.3,2,3,3.7,3.3,3,2.7,3,3.7,4,3.7,2.7,2.7,2.7,2.7,2.7,4,3,3.3,4,4,3.3,2.7,3.3,3,3,3.7,3,3.3,3,0,4,4
4,2.7,3.7,3,4,4,3.7,4,2.7,4,3,4,4,4,3,4,3.7,4,4,3.7,4,4,3.3,4,4,4,4,3.7,4,3.3,3.7,4,3.7,3.7,4,4,4,4,4,4,3.7,4,4,2.7,3.7,3.3,4,4
2.7,3,3,2.7,3.7,4,1.7,0,0,0,0,2,2.7,2.7,0,0,0,3,0,2.7,3.3,2.7,0,3.3,3,2.7,3.7,3.7,3,3,1.7,2.7,3.3,1.7,3.7,4,2.7,0,3.3,2.7,3.3,2,2.7,3.3,3.7,3,3.7,3.3
0,2,2,2,2,4,2.7,0,0,1.7,1.7,3.7,3.3,0,3,2.7,2.7,0,2,2.7,3.7,3,0,3.7,3.7,2.7,2.7,2.7,3,3,2.7,0,2.7,0,4,4,3.3,0,2.7,3.7,3.7,4,3.3,3.3,3.3,2.7,4,4
3.3,3.7,2.7,2.7,3.7,4,4,2.7,2.7,3.3,1.7,4,4,4,3.3,3.3,3.3,3.7,3.7,3.7,4,3.3,4,4,4,3,3.3,4,3.7,3.7,3.3,3.3,3.3,3.3,4,4,3.3,2.7,3.7,3,4,3.3,2.7,3.7,3,3.3,4,4
3.7,3.3,2.7,3.7,4,4,3.7,2.7,2,4,1.7,4,4,3.7,3.3,3.7,2.7,3.3,0,2.7,4,3.7,4,3.7,4,4,3.3,4,2.7,3.3,3.3,3,4,2.7,4,4,4,3.3,3.3,3.7,3.7,3.7,4,4,3.7,3.3,4,3.7
4,3.7,2.7,3.7,4,4,3.3,3.7,2.7,3,2.7,4,4,3,2.7,3,0,3.3,2.7,2.7,3.7,0,2.7,3.3,4,4,2.7,3.3,0,3.7,3.3,0,2.7,2,4,4,3.7,3.3,3.3,2.7,3,4,4,2.7,3.3,2.7,3.3,3.7
0,3,3.3,3.3,4,4,2,2.7,3,3.3,0,4,3.7,3.3,3,3,3.3,2.7,0,3.3,4,4,3,4,3.7,3.3,3.3,3.3,3,3.7,3.7,3.7,4,3.3,4,4,4,2.7,4,4,3.7,3.7,2.7,3.3,3.7,3.7,4,3.7
2.7,4,3.3,3.3,4,4,2,0,0,3.3,0,3.7,4,3,0,3.3,0,0,2.7,2.7,4,3,2.7,4,4,4,2.7,3.7,3,2.7,2,2.7,3,0,4,4,2.7,2.7,3.7,3.7,3.3,3.7,3.7,3.7,3.3,3,4,3
0,2.7,1.3,3.7,3,4,3,0,4,2.7,3.3,2,4,3.3,0,2.7,3.7,3.7,2,2.7,3.7,2,2.7,4,4,2.7,2.7,4,3.7,3.3,2,0,2.7,0,4,4,2.7,2.7,2,2.7,3.3,3.3,2,3,3,0,4,3.7
